,,,,,2000_2016_pct_chg,2000_2016_pct_chg,2016_2020,2016_2020
,,,,,std,median,pct_change,vote_change
county_fips,state,state_po,county_name,size,,,,
1001.0,ALABAMA,AL,AUTAUGA,m,0.1574984368045401,0.0035406281551372265,0.2639824797843666,1567.0
1003.0,ALABAMA,AL,BALDWIN,l,0.12982586334361915,0.05814925805545257,0.3315635496803555,6120.0
1005.0,ALABAMA,AL,BARBOUR,m,0.15164547789847013,-0.015440365548343493,-0.011291315951549974,-55.0
1007.0,ALABAMA,AL,BIBB,m,0.14261863150921622,-0.09557387625390179,0.05976520811099251,112.0
1009.0,ALABAMA,AL,BLOUNT,m,0.07208709474305018,-0.18274471427168038,0.22448979591836737,484.0
1011.0,ALABAMA,AL,BULLOCK,s,0.1643327892053251,-0.021013090290361358,-0.023796033994334276,-84.0
1013.0,ALABAMA,AL,BUTLER,m,0.16034184767969045,-0.004554650240684466,0.06414385399892653,239.0
1015.0,ALABAMA,AL,CALHOUN,l,0.09404849326085728,-0.04730805109643771,0.14907113729043941,1974.0
1017.0,ALABAMA,AL,CHAMBERS,m,0.18232756771387335,-0.01865453389114957,0.10044951590594753,581.0
1019.0,ALABAMA,AL,CHEROKEE,m,0.09317730536989981,-0.18606540568607677,0.04977375565610864,77.0
1021.0,ALABAMA,AL,CHILTON,m,0.08121743710009961,-0.10923103881887519,0.055650979045001714,162.0
1023.0,ALABAMA,AL,CHOCTAW,m,0.12962714693951471,-0.03386443985644849,0.005789642972016784,18.0
1025.0,ALABAMA,AL,CLARKE,m,0.15913621329285224,0.029952218891812765,0.0010436597669158942,6.0
1027.0,ALABAMA,AL,CLAY,m,0.1351054147354142,-0.07229323837532953,0.02425222312045272,30.0
1029.0,ALABAMA,AL,CLEBURNE,m,0.06570068378512291,-0.1663634417808219,-0.013157894736842146,-9.0
1031.0,ALABAMA,AL,COFFEE,m,0.13052033537149177,-0.08604169071203716,0.2025586353944564,855.0
1033.0,ALABAMA,AL,COLBERT,m,0.08711763802437286,-0.0698968021691686,0.14100109409190376,1031.0
1035.0,ALABAMA,AL,CONECUH,m,0.16626271386172228,0.006874320372188492,-0.03701298701298705,-114.0
1037.0,ALABAMA,AL,COOSA,s,0.11978767849748301,-0.029682322151760088,0.007856341189674598,14.0
1039.0,ALABAMA,AL,COVINGTON,m,0.11460507841133369,-0.14125796480090963,0.1399245915374947,334.0
1041.0,ALABAMA,AL,CRENSHAW,m,0.15337512922584612,-0.032117674806274754,0.02163461538461542,36.0
1043.0,ALABAMA,AL,CULLMAN,m,0.0618760932863781,-0.21188339770181874,0.1790416008425486,680.0
1045.0,ALABAMA,AL,DALE,m,0.14615486510111794,-0.0414905343803158,0.17153863584862905,757.0
1047.0,ALABAMA,AL,DALLAS,m,0.15386995295192368,0.03186251681738139,-0.0472109691492677,-606.0
1049.0,ALABAMA,AL,DEKALB,m,0.13858321859944864,-0.13812704889353017,0.18194367752622864,659.0
1051.0,ALABAMA,AL,ELMORE,m,0.15378928428565522,0.02572767968098666,0.22788108492242087,1924.0
1053.0,ALABAMA,AL,ESCAMBIA,m,0.2457185997684542,-0.04936793116515242,0.06796959826275795,313.0
1055.0,ALABAMA,AL,ETOWAH,m,0.05431062355060957,-0.12010129977796291,0.1077379812296495,1125.0
1057.0,ALABAMA,AL,FAYETTE,m,0.06952866076298327,-0.19301306350459302,0.02422907488986792,33.0
1059.0,ALABAMA,AL,FRANKLIN,m,0.11854995141255008,-0.15870285622399194,-0.050523441055985385,-111.0
1061.0,ALABAMA,AL,GENEVA,m,0.13319274030389014,-0.14071298480329986,0.04590163934426239,70.0
1063.0,ALABAMA,AL,GREENE,s,0.1180060337441526,0.04991806097672147,-0.03214552703712936,-129.0
1065.0,ALABAMA,AL,HALE,m,0.09415981263985669,0.035639688829234684,-0.023455497382198987,-112.0
1067.0,ALABAMA,AL,HENRY,m,0.208065755463377,-0.04854112802218552,0.13699825479930183,314.0
1069.0,ALABAMA,AL,HOUSTON,m,0.20422458589115963,-0.008429373110253047,0.211271567891973,2253.0
1071.0,ALABAMA,AL,JACKSON,m,0.15080184157795945,-0.17422158163166118,0.011979308467193084,44.0
1073.0,ALABAMA,AL,JEFFERSON,l,0.13621199454226204,-0.0001645442304683553,0.15818528363708229,24815.0
