county_fips,POP_ESTIMATE_2020,state,state_po,county_name,fixed_fips,size,pct_change
10001,182315.0,DELAWARE,DE,KENT,10001,s,0.33585199844082636
10003,570918.0,DELAWARE,DE,NEW CASTLE,10003,m,0.19712249645529378
10005,238629.0,DELAWARE,DE,SUSSEX,10005,s,0.4410800091526199
1001,58915.0,ALABAMA,AL,AUTAUGA,01001,xs,0.2639824797843666
1003,233227.0,ALABAMA,AL,BALDWIN,01003,s,0.3315635496803555
1005,24969.0,ALABAMA,AL,BARBOUR,01005,xs,-0.011291315951549974
1007,22188.0,ALABAMA,AL,BIBB,01007,xs,0.05976520811099251
1009,59107.0,ALABAMA,AL,BLOUNT,01009,xs,0.22448979591836737
1011,10229.0,ALABAMA,AL,BULLOCK,01011,xs,-0.023796033994334276
1013,19025.0,ALABAMA,AL,BUTLER,01013,xs,0.06414385399892653
1015,116243.0,ALABAMA,AL,CALHOUN,01015,s,0.14907113729043941
1017,34651.0,ALABAMA,AL,CHAMBERS,01017,xs,0.10044951590594753
1019,24969.0,ALABAMA,AL,CHEROKEE,01019,xs,0.04977375565610864
1021,45057.0,ALABAMA,AL,CHILTON,01021,xs,0.055650979045001714
1023,12626.0,ALABAMA,AL,CHOCTAW,01023,xs,0.005789642972016784
1025,22987.0,ALABAMA,AL,CLARKE,01025,xs,0.0010436597669158942
1027,14212.0,ALABAMA,AL,CLAY,01027,xs,0.02425222312045272
1029,15064.0,ALABAMA,AL,CLEBURNE,01029,xs,-0.013157894736842146
1031,53549.0,ALABAMA,AL,COFFEE,01031,xs,0.2025586353944564
1033,57304.0,ALABAMA,AL,COLBERT,01033,xs,0.14100109409190376
1035,11554.0,ALABAMA,AL,CONECUH,01035,xs,-0.03701298701298705
1037,10335.0,ALABAMA,AL,COOSA,01037,xs,0.007856341189674598
1039,37506.0,ALABAMA,AL,COVINGTON,01039,xs,0.1399245915374947
1041,13163.0,ALABAMA,AL,CRENSHAW,01041,xs,0.02163461538461542
1043,88136.0,ALABAMA,AL,CULLMAN,01043,xs,0.1790416008425486
1045,49257.0,ALABAMA,AL,DALE,01045,xs,0.17153863584862905
1047,38171.0,ALABAMA,AL,DALLAS,01047,xs,-0.0472109691492677
1049,71659.0,ALABAMA,AL,DEKALB,01049,xs,0.18194367752622864
1051,87861.0,ALABAMA,AL,ELMORE,01051,xs,0.22788108492242087
1053,36685.0,ALABAMA,AL,ESCAMBIA,01053,xs,0.06796959826275795
1055,103453.0,ALABAMA,AL,ETOWAH,01055,s,0.1077379812296495
1057,16331.0,ALABAMA,AL,FAYETTE,01057,xs,0.02422907488986792
1059,32078.0,ALABAMA,AL,FRANKLIN,01059,xs,-0.050523441055985385
1061,26698.0,ALABAMA,AL,GENEVA,01061,xs,0.04590163934426239
1063,7700.0,ALABAMA,AL,GREENE,01063,xs,-0.03214552703712936
1065,14772.0,ALABAMA,AL,HALE,01065,xs,-0.023455497382198987
1067,17169.0,ALABAMA,AL,HENRY,01067,xs,0.13699825479930183
1069,107284.0,ALABAMA,AL,HOUSTON,01069,xs,0.211271567891973
1071,52545.0,ALABAMA,AL,JACKSON,01071,xs,0.011979308467193084
1073,674717.0,ALABAMA,AL,JEFFERSON,01073,m,0.15818528363708229
1075,13953.0,ALABAMA,AL,LAMAR,01075,xs,-0.055984555984555984
1077,94025.0,ALABAMA,AL,LAUDERDALE,01077,xs,0.1972467845659165
1079,33089.0,ALABAMA,AL,LAWRENCE,01079,xs,-0.017921146953404965
1081,174754.0,ALABAMA,AL,LEE,01081,s,0.31229392369288744
1083,104203.0,ALABAMA,AL,LIMESTONE,01083,s,0.44402196873679767
1085,10285.0,ALABAMA,AL,LOWNDES,01085,xs,0.018226500102396015
1087,19464.0,ALABAMA,AL,MACON,01087,xs,-0.0605339677504626
1089,390503.0,ALABAMA,AL,MADISON,01089,m,0.389417719907039
1091,19270.0,ALABAMA,AL,MARENGO,01091,xs,-0.022617987533392725
1093,29176.0,ALABAMA,AL,MARION,01093,xs,0.0216480446927374
1095,97702.0,ALABAMA,AL,MARSHALL,01095,xs,0.20866381940207446
1097,414377.0,ALABAMA,AL,MOBILE,01097,m,0.1009614052586374
1099,19706.0,ALABAMA,AL,MONROE,01099,xs,0.028393351800553912
11001,670839.0,DISTRICT OF COLUMBIA,DC,DISTRICT OF COLUMBIA,11001,m,0.12195665240603892
1101,228342.0,ALABAMA,AL,MONTGOMERY,01101,s,0.09527123362074819
1103,123288.0,ALABAMA,AL,MORGAN,01103,s,0.17593744446419057
1105,8458.0,ALABAMA,AL,PERRY,01105,xs,0.009414225941422494
1107,18969.0,ALABAMA,AL,PICKENS,01107,xs,0.012588116817723982
1109,32900.0,ALABAMA,AL,PIKE,01109,xs,0.11471518987341778
1111,22086.0,ALABAMA,AL,RANDOLPH,01111,xs,-0.03841117415975559
1113,59258.0,ALABAMA,AL,RUSSELL,01113,xs,0.17214740578348464
1115,91657.0,ALABAMA,AL,ST. CLAIR,01115,xs,0.38557881553050644
1117,223912.0,ALABAMA,AL,SHELBY,01117,s,0.4478826652739696
1119,12191.0,ALABAMA,AL,SUMTER,01119,xs,-0.020648967551622377
1121,81575.0,ALABAMA,AL,TALLADEGA,01121,xs,0.08390396831944558
1123,41284.0,ALABAMA,AL,TALLAPOOSA,01123,xs,0.06160536329045119
1125,231547.0,ALABAMA,AL,TUSCALOOSA,01125,s,0.18899943328505753
1127,65138.0,ALABAMA,AL,WALKER,01127,xs,0.07493884812096963
1129,15329.0,ALABAMA,AL,WASHINGTON,01129,xs,-0.048862679022746436
1131,10534.0,ALABAMA,AL,WILCOX,01131,xs,-0.06706614427287394
1133,23493.0,ALABAMA,AL,WINSTON,01133,xs,0.1169724770642202
12001,279737.0,FLORIDA,FL,ALACHUA,12001,s,0.18311791084146667
12003,28116.0,FLORIDA,FL,BAKER,12003,xs,-0.035511363636363646
12005,174525.0,FLORIDA,FL,BAY,12005,s,0.17511584162958216
12007,28222.0,FLORIDA,FL,BRADFORD,12007,xs,0.08071135430916554
12009,608775.0,FLORIDA,FL,BREVARD,12009,l,0.2412286198915432
12011,1943398.0,FLORIDA,FL,BROWARD,12011,xl,0.11825345189040704
12013,13707.0,FLORIDA,FL,CALHOUN,12013,xs,-0.025785656728444795
12015,187995.0,FLORIDA,FL,CHARLOTTE,12015,s,0.26395574824338475
12017,154568.0,FLORIDA,FL,CITRUS,12017,s,0.18881916714204228
12019,218951.0,FLORIDA,FL,CLAY,12019,s,0.37721946660915817
12021,377310.0,FLORIDA,FL,COLLIER,12021,m,0.2707047556683311
12023,69740.0,FLORIDA,FL,COLUMBIA,12023,xs,0.17274042889093533
12027,34086.0,FLORIDA,FL,DESOTO,12027,xs,0.12642158159217143
12029,16687.0,FLORIDA,FL,DIXIE,12029,xs,0.0748031496062993
12031,997784.0,FLORIDA,FL,DUVAL,12031,l,0.22776416598607718
12033,322568.0,FLORIDA,FL,ESCAMBIA,12033,m,0.23438506117192537
12035,116028.0,FLORIDA,FL,FLAGLER,12035,s,0.27853445927540177
12037,12468.0,FLORIDA,FL,FRANKLIN,12037,xs,0.2155963302752293
12039,43411.0,FLORIDA,FL,GADSDEN,12039,xs,0.07543275632490021
12041,17882.0,FLORIDA,FL,GILCHRIST,12041,xs,0.16598079561042534
12043,12078.0,FLORIDA,FL,GLADES,12043,xs,0.089693154996066
12045,14259.0,FLORIDA,FL,GULF,12045,xs,0.15406976744186052
12047,13729.0,FLORIDA,FL,HAMILTON,12047,xs,0.030987394957983083
12049,25339.0,FLORIDA,FL,HARDEE,12049,xs,0.06933457422056777
12051,39723.0,FLORIDA,FL,HENDRY,12051,xs,0.0680390032502709
12053,195624.0,FLORIDA,FL,HERNANDO,12053,s,0.18002830633747435
12055,101349.0,FLORIDA,FL,HIGHLANDS,12055,s,0.13396264310102435
12057,1466255.0,FLORIDA,FL,HILLSBOROUGH,12057,l,0.22238353210174866
12059,19578.0,FLORIDA,FL,HOLMES,12059,xs,0.08323563892145369
12061,160446.0,FLORIDA,FL,INDIAN RIVER,12061,s,0.3030334331852771
12063,47096.0,FLORIDA,FL,JACKSON,12063,xs,0.05768328904173825
12065,14399.0,FLORIDA,FL,JEFFERSON,12065,xs,0.10053657158994644
12067,8218.0,FLORIDA,FL,LAFAYETTE,12067,xs,-0.015444015444015413
12069,386216.0,FLORIDA,FL,LAKE,12069,m,0.3288933447913682
12071,765547.0,FLORIDA,FL,LEE,12071,l,0.2624891920453454
12073,293955.0,FLORIDA,FL,LEON,12073,m,0.12435373854107823
12075,43059.0,FLORIDA,FL,LEVY,12075,xs,0.21642815134287385
12077,7804.0,FLORIDA,FL,LIBERTY,12077,xs,0.0660522273425499
12079,17869.0,FLORIDA,FL,MADISON,12079,xs,0.06267725467952356
12081,401619.0,FLORIDA,FL,MANATEE,12081,m,0.2659496798831855
12083,377472.0,FLORIDA,FL,MARION,12083,m,0.20658919101884243
12085,158671.0,FLORIDA,FL,MARTIN,12085,s,0.22222958423057815
12086,2695685.0,FLORIDA,FL,MIAMI-DADE,12086,xl,-0.010064952751439593
12087,82847.0,FLORIDA,FL,MONROE,12087,s,0.1533920193980285
12089,91031.0,FLORIDA,FL,NASSAU,12089,s,0.43196246204802646
12091,212085.0,FLORIDA,FL,OKALOOSA,12091,s,0.440201850294365
12093,39652.0,FLORIDA,FL,OKEECHOBEE,12093,xs,0.10886587522101543
12095,1431679.0,FLORIDA,FL,ORANGE,12095,l,0.19739673955876746
12097,391141.0,FLORIDA,FL,OSCEOLA,12097,m,0.13853588897470104
12099,1494282.0,FLORIDA,FL,PALM BEACH,12099,xl,0.15720107934118555
12101,566156.0,FLORIDA,FL,PASCO,12101,m,0.32094916908877114
12103,959793.0,FLORIDA,FL,PINELLAS,12103,l,0.18720073940633553
12105,730158.0,FLORIDA,FL,POLK,12105,m,0.23516388068089888
12107,73372.0,FLORIDA,FL,PUTNAM,12107,xs,0.04289677035862893
12109,277099.0,FLORIDA,FL,ST. JOHNS,12109,m,0.4814728880020418
12111,331441.0,FLORIDA,FL,ST. LUCIE,12111,m,0.25801049625454175
12113,189011.0,FLORIDA,FL,SANTA ROSA,12113,s,0.49545060658578866
12115,436237.0,FLORIDA,FL,SARASOTA,12115,m,0.2272402166138756
12117,471455.0,FLORIDA,FL,SEMINOLE,12117,m,0.2512793398417583
12119,130290.0,FLORIDA,FL,SUMTER,12119,s,0.2960950614011839
12121,43524.0,FLORIDA,FL,SUWANNEE,12121,xs,0.1314328960645812
12123,21743.0,FLORIDA,FL,TAYLOR,12123,xs,0.06830855018587356
12125,15425.0,FLORIDA,FL,UNION,12125,xs,0.03846153846153855
12127,555776.0,FLORIDA,FL,VOLUSIA,12127,m,0.19693650255291462
12129,33893.0,FLORIDA,FL,WAKULLA,12129,xs,0.23068077276908916
12131,75941.0,FLORIDA,FL,WALTON,12131,xs,0.5034904013961605
12133,25320.0,FLORIDA,FL,WASHINGTON,12133,xs,0.03666077738515905
13001,18376.0,GEORGIA,GA,APPLING,13001,xs,0.2405857740585775
13003,8308.0,GEORGIA,GA,ATKINSON,13003,xs,0.18364418938307026
13005,11112.0,GEORGIA,GA,BACON,13005,xs,0.02796052631578938
13007,2852.0,GEORGIA,GA,BAKER,13007,xs,0.003076923076922977
