,,,,,,,2000_2016_pct_chg,2000_2016_pct_chg,2016_2020,2016_2020
,,,,,,,std,median,pct_change,vote_change
county_fips,POP_ESTIMATE_2020,state,state_po,county_name,fixed_fips,size,,,,
10001,182315.0,DELAWARE,DE,KENT,10001,s,0.27224949609080357,0.011854001684741156,0.33585199844082636,11201.0
10003,570918.0,DELAWARE,DE,NEW CASTLE,10003,m,0.13727577150003586,0.06058636892036878,0.19712249645529378,32115.0
10005,238629.0,DELAWARE,DE,SUSSEX,10005,s,0.1718756128234003,0.002015894319188305,0.4410800091526199,17349.0
1001,58915.0,ALABAMA,AL,AUTAUGA,01001,xs,0.1574984368045401,0.0035406281551372265,0.2639824797843666,1567.0
1003,233227.0,ALABAMA,AL,BALDWIN,01003,s,0.12982586334361915,0.05814925805545257,0.3315635496803555,6120.0
1005,24969.0,ALABAMA,AL,BARBOUR,01005,xs,0.15164547789847013,-0.015440365548343493,-0.011291315951549974,-55.0
1007,22188.0,ALABAMA,AL,BIBB,01007,xs,0.14261863150921622,-0.09557387625390179,0.05976520811099251,112.0
1009,59107.0,ALABAMA,AL,BLOUNT,01009,xs,0.07208709474305018,-0.18274471427168038,0.22448979591836737,484.0
1011,10229.0,ALABAMA,AL,BULLOCK,01011,xs,0.1643327892053251,-0.021013090290361358,-0.023796033994334276,-84.0
1013,19025.0,ALABAMA,AL,BUTLER,01013,xs,0.16034184767969045,-0.004554650240684466,0.06414385399892653,239.0
1015,116243.0,ALABAMA,AL,CALHOUN,01015,s,0.09404849326085728,-0.04730805109643771,0.14907113729043941,1974.0
1017,34651.0,ALABAMA,AL,CHAMBERS,01017,xs,0.18232756771387335,-0.01865453389114957,0.10044951590594753,581.0
1019,24969.0,ALABAMA,AL,CHEROKEE,01019,xs,0.09317730536989981,-0.18606540568607677,0.04977375565610864,77.0
1021,45057.0,ALABAMA,AL,CHILTON,01021,xs,0.08121743710009961,-0.10923103881887519,0.055650979045001714,162.0
1023,12626.0,ALABAMA,AL,CHOCTAW,01023,xs,0.12962714693951471,-0.03386443985644849,0.005789642972016784,18.0
1025,22987.0,ALABAMA,AL,CLARKE,01025,xs,0.15913621329285224,0.029952218891812765,0.0010436597669158942,6.0
1027,14212.0,ALABAMA,AL,CLAY,01027,xs,0.1351054147354142,-0.07229323837532953,0.02425222312045272,30.0
1029,15064.0,ALABAMA,AL,CLEBURNE,01029,xs,0.06570068378512291,-0.1663634417808219,-0.013157894736842146,-9.0
1031,53549.0,ALABAMA,AL,COFFEE,01031,xs,0.13052033537149177,-0.08604169071203716,0.2025586353944564,855.0
1033,57304.0,ALABAMA,AL,COLBERT,01033,xs,0.08711763802437286,-0.0698968021691686,0.14100109409190376,1031.0
1035,11554.0,ALABAMA,AL,CONECUH,01035,xs,0.16626271386172228,0.006874320372188492,-0.03701298701298705,-114.0
1037,10335.0,ALABAMA,AL,COOSA,01037,xs,0.11978767849748301,-0.029682322151760088,0.007856341189674598,14.0
1039,37506.0,ALABAMA,AL,COVINGTON,01039,xs,0.11460507841133369,-0.14125796480090963,0.1399245915374947,334.0
1041,13163.0,ALABAMA,AL,CRENSHAW,01041,xs,0.15337512922584612,-0.032117674806274754,0.02163461538461542,36.0
1043,88136.0,ALABAMA,AL,CULLMAN,01043,xs,0.0618760932863781,-0.21188339770181874,0.1790416008425486,680.0
1045,49257.0,ALABAMA,AL,DALE,01045,xs,0.14615486510111794,-0.0414905343803158,0.17153863584862905,757.0
1047,38171.0,ALABAMA,AL,DALLAS,01047,xs,0.15386995295192368,0.03186251681738139,-0.0472109691492677,-606.0
1049,71659.0,ALABAMA,AL,DEKALB,01049,xs,0.13858321859944864,-0.13812704889353017,0.18194367752622864,659.0
1051,87861.0,ALABAMA,AL,ELMORE,01051,xs,0.15378928428565522,0.02572767968098666,0.22788108492242087,1924.0
1053,36685.0,ALABAMA,AL,ESCAMBIA,01053,xs,0.2457185997684542,-0.04936793116515242,0.06796959826275795,313.0
1055,103453.0,ALABAMA,AL,ETOWAH,01055,s,0.05431062355060957,-0.12010129977796291,0.1077379812296495,1125.0
1057,16331.0,ALABAMA,AL,FAYETTE,01057,xs,0.06952866076298327,-0.19301306350459302,0.02422907488986792,33.0
1059,32078.0,ALABAMA,AL,FRANKLIN,01059,xs,0.11854995141255008,-0.15870285622399194,-0.050523441055985385,-111.0
1061,26698.0,ALABAMA,AL,GENEVA,01061,xs,0.13319274030389014,-0.14071298480329986,0.04590163934426239,70.0
1063,7700.0,ALABAMA,AL,GREENE,01063,xs,0.1180060337441526,0.04991806097672147,-0.03214552703712936,-129.0
1065,14772.0,ALABAMA,AL,HALE,01065,xs,0.09415981263985669,0.035639688829234684,-0.023455497382198987,-112.0
1067,17169.0,ALABAMA,AL,HENRY,01067,xs,0.208065755463377,-0.04854112802218552,0.13699825479930183,314.0
1069,107284.0,ALABAMA,AL,HOUSTON,01069,xs,0.20422458589115963,-0.008429373110253047,0.211271567891973,2253.0
1071,52545.0,ALABAMA,AL,JACKSON,01071,xs,0.15080184157795945,-0.17422158163166118,0.011979308467193084,44.0
1073,674717.0,ALABAMA,AL,JEFFERSON,01073,m,0.13621199454226204,-0.0001645442304683553,0.15818528363708229,24815.0
1075,13953.0,ALABAMA,AL,LAMAR,01075,xs,0.16528676904460657,-0.21878403659244422,-0.055984555984555984,-58.0
1077,94025.0,ALABAMA,AL,LAUDERDALE,01077,xs,0.10625072325535674,-0.07508612109846285,0.1972467845659165,1963.0
1079,33089.0,ALABAMA,AL,LAWRENCE,01079,xs,0.127244510880647,-0.09170124133332375,-0.017921146953404965,-65.0
1081,174754.0,ALABAMA,AL,LEE,01081,s,0.1561440929326165,0.05398939711990208,0.31229392369288744,6630.0
1083,104203.0,ALABAMA,AL,LIMESTONE,01083,s,0.035633174173403094,0.022813903186128193,0.44402196873679767,4204.0
1085,10285.0,ALABAMA,AL,LOWNDES,01085,xs,0.19108374669055556,-0.008205236877812883,0.018226500102396015,89.0
1087,19464.0,ALABAMA,AL,MACON,01087,xs,0.15652811044823628,-0.012622309197651671,-0.0605339677504626,-458.0
1089,390503.0,ALABAMA,AL,MADISON,01089,m,0.10979345008411892,0.05261740552944927,0.389417719907039,24464.0
1091,19270.0,ALABAMA,AL,MARENGO,01091,xs,0.10860817817931245,0.04057787211454533,-0.022617987533392725,-127.0
1093,29176.0,ALABAMA,AL,MARION,01093,xs,0.11044462007462114,-0.2447004018998904,0.0216480446927374,31.0
1095,97702.0,ALABAMA,AL,MARSHALL,01095,xs,0.048031969031542505,-0.17655896477660665,0.20866381940207446,1026.0
1097,414377.0,ALABAMA,AL,MOBILE,01097,m,0.16759096010516675,0.022603649071087584,0.1009614052586374,7288.0
1099,19706.0,ALABAMA,AL,MONROE,01099,xs,0.2170253136473042,-0.021068833857975533,0.028393351800553912,123.0
11001,670839.0,DISTRICT OF COLUMBIA,DC,DISTRICT OF COLUMBIA,11001,m,0.0729793252542005,0.13356021263554385,0.12195665240603892,34493.0
1101,228342.0,ALABAMA,AL,MONTGOMERY,01101,s,0.19253024456145226,0.06670387787380716,0.09527123362074819,5613.0
1103,123288.0,ALABAMA,AL,MORGAN,01103,s,0.06982157694521315,-0.07646481998730026,0.17593744446419057,1980.0
1105,8458.0,ALABAMA,AL,PERRY,01105,xs,0.14672074601759508,-0.019015339501728568,0.009414225941422494,36.0
1107,18969.0,ALABAMA,AL,PICKENS,01107,xs,0.12339038356106287,-0.0426447209264863,0.012588116817723982,50.0
1109,32900.0,ALABAMA,AL,PIKE,01109,xs,0.2179570579867469,0.010628131709621236,0.11471518987341778,580.0
1111,22086.0,ALABAMA,AL,RANDOLPH,01111,xs,0.14731129756305186,-0.04247946416968068,-0.03841117415975559,-88.0
1113,59258.0,ALABAMA,AL,RUSSELL,01113,xs,0.12256620355604977,0.019324516030132577,0.17214740578348464,1649.0
1115,91657.0,ALABAMA,AL,ST. CLAIR,01115,xs,0.11303145522936467,-0.04207832644301751,0.38557881553050644,2155.0
1117,223912.0,ALABAMA,AL,SHELBY,01117,s,0.17222384314974967,0.1361893079497013,0.4478826652739696,10291.0
1119,12191.0,ALABAMA,AL,SUMTER,01119,xs,0.11741217955297309,0.02759664569184217,-0.020648967551622377,-98.0
1121,81575.0,ALABAMA,AL,TALLADEGA,01121,xs,0.13993523381208245,0.009454987548987548,0.08390396831944558,1017.0
1123,41284.0,ALABAMA,AL,TALLAPOOSA,01123,xs,0.11886241223376344,-0.03808290485083721,0.06160536329045119,340.0
1125,231547.0,ALABAMA,AL,TUSCALOOSA,01125,s,0.12080619286816775,0.03277285004888869,0.18899943328505753,6003.0
1127,65138.0,ALABAMA,AL,WALKER,01127,xs,0.08346711224595597,-0.2005908932266014,0.07493884812096963,337.0
1129,15329.0,ALABAMA,AL,WASHINGTON,01129,xs,0.08285668329286315,-0.05042305810130171,-0.048862679022746436,-116.0
1131,10534.0,ALABAMA,AL,WILCOX,01131,xs,0.13085287789945338,0.08495461518857539,-0.06706614427287394,-291.0
1133,23493.0,ALABAMA,AL,WINSTON,01133,xs,0.06609106283409541,-0.24114619976521207,0.1169724770642202,102.0
12001,279737.0,FLORIDA,FL,ALACHUA,12001,s,0.17028700261912455,0.14839155581062713,0.18311791084146667,13884.0
12003,28116.0,FLORIDA,FL,BAKER,12003,xs,0.0743970447852775,-0.046492857444366986,-0.035511363636363646,-75.0
12005,174525.0,FLORIDA,FL,BAY,12005,s,0.09509711500040813,0.05307351525466586,0.17511584162958216,3817.0
12007,28222.0,FLORIDA,FL,BRADFORD,12007,xs,0.08448116587111958,0.012173552347768346,0.08071135430916554,236.0
12009,608775.0,FLORIDA,FL,BREVARD,12009,l,0.10260015915953584,0.0532727922483589,0.2412286198915432,28870.0
12011,1943398.0,FLORIDA,FL,BROWARD,12011,xl,0.05729843591996011,0.08697890246690376,0.11825345189040704,65432.0
12013,13707.0,FLORIDA,FL,CALHOUN,12013,xs,0.09972194984947806,-0.11281517664633056,-0.025785656728444795,-32.0
12015,187995.0,FLORIDA,FL,CHARLOTTE,12015,s,0.12829397712668267,0.03542578127672774,0.26395574824338475,8828.0
12017,154568.0,FLORIDA,FL,CITRUS,12017,s,0.157724321053469,-0.01039776781050572,0.18881916714204228,4303.0
12019,218951.0,FLORIDA,FL,CLAY,12019,s,0.20106779329512958,0.188315169443662,0.37721946660915817,10495.0
12021,377310.0,FLORIDA,FL,COLLIER,12021,m,0.2126306020675107,0.21105936464907715,0.2707047556683311,16536.0
12023,69740.0,FLORIDA,FL,COLUMBIA,12023,xs,0.13335296889036305,0.03116248912217462,0.17274042889093533,1313.0
12027,34086.0,FLORIDA,FL,DESOTO,12027,xs,0.1307866576126329,0.036214105575645084,0.12642158159217143,478.0
12029,16687.0,FLORIDA,FL,DIXIE,12029,xs,0.15617568429690393,-0.04191558441558446,0.0748031496062993,95.0
12031,997784.0,FLORIDA,FL,DUVAL,12031,l,0.22740068665987653,0.16151952632833577,0.22776416598607718,46852.0
12033,322568.0,FLORIDA,FL,ESCAMBIA,12033,m,0.15639109209331548,0.08397703398209161,0.23438506117192537,13468.0
12035,116028.0,FLORIDA,FL,FLAGLER,12035,s,0.2252458952217393,0.14001961907256383,0.27853445927540177,6135.0
12037,12468.0,FLORIDA,FL,FRANKLIN,12037,xs,0.1410927973997869,-0.08297310628249971,0.2155963302752293,376.0
12039,43411.0,FLORIDA,FL,GADSDEN,12039,xs,0.250682691346586,0.03860488964118558,0.07543275632490021,1133.0
12041,17882.0,FLORIDA,FL,GILCHRIST,12041,xs,0.12064654432614949,-0.03301136233796298,0.16598079561042534,242.0
12043,12078.0,FLORIDA,FL,GLADES,12043,xs,0.16353536204832322,-0.034012278454428,0.089693154996066,114.0
12045,14259.0,FLORIDA,FL,GULF,12045,xs,0.0644349186343675,-0.08500364320522408,0.15406976744186052,265.0
12047,13729.0,FLORIDA,FL,HAMILTON,12047,xs,0.19844490134924908,-0.005755955857029482,0.030987394957983083,59.0
12049,25339.0,FLORIDA,FL,HARDEE,12049,xs,0.1435178187757776,-0.061059572946342566,0.06933457422056777,149.0
12051,39723.0,FLORIDA,FL,HENDRY,12051,xs,0.16338343680448472,0.09679833485348116,0.0680390032502709,314.0
12053,195624.0,FLORIDA,FL,HERNANDO,12053,s,0.15290569021032774,0.014763549204911797,0.18002830633747435,5724.0
12055,101349.0,FLORIDA,FL,HIGHLANDS,12055,s,0.13656820964344926,0.004149175274472394,0.13396264310102435,2001.0
12057,1466255.0,FLORIDA,FL,HILLSBOROUGH,12057,l,0.1198707067199919,0.16884768648149517,0.22238353210174866,68471.0
12059,19578.0,FLORIDA,FL,HOLMES,12059,xs,0.08571629912597677,-0.18484279395082187,0.08323563892145369,71.0
12061,160446.0,FLORIDA,FL,INDIAN RIVER,12061,s,0.14638257535247032,0.13413697979936978,0.3030334331852771,8801.0
