county_fips,POP_ESTIMATE_2020,state,state_po,county_name,fixed_fips,size,size,state_po,county_name,2020,POP_ESTIMATE_2020,fixed_fips
10001,182315.0,DELAWARE,DE,KENT,10001,s,s,DE,KENT,-0.08950731281153143,182315.0,10001
10003,570918.0,DELAWARE,DE,NEW CASTLE,10003,m,m,DE,NEW CASTLE,-0.07589776342904336,570918.0,10003
10005,238629.0,DELAWARE,DE,SUSSEX,10005,s,s,DE,SUSSEX,-0.10711889742214643,238629.0,10005
1001,58915.0,ALABAMA,AL,AUTAUGA,01001,xs,xs,AL,AUTAUGA,-0.04578479507598132,58915.0,01001
1003,233227.0,ALABAMA,AL,BALDWIN,01003,s,s,AL,BALDWIN,-0.03397768490172981,233227.0,01003
1005,24969.0,ALABAMA,AL,BARBOUR,01005,xs,xs,AL,BARBOUR,0.02094231575430979,24969.0,01005
1007,22188.0,ALABAMA,AL,BIBB,01007,xs,xs,AL,BIBB,0.025743377866053962,22188.0,01007
1009,59107.0,ALABAMA,AL,BLOUNT,01009,xs,xs,AL,BLOUNT,-0.009068449944219292,59107.0,01009
1011,10229.0,ALABAMA,AL,BULLOCK,01011,xs,xs,AL,BULLOCK,0.008840059225221075,10229.0,01011
1013,19025.0,ALABAMA,AL,BUTLER,01013,xs,xs,AL,BUTLER,0.022794132415205948,19025.0,01013
1015,116243.0,ALABAMA,AL,CALHOUN,01015,s,s,AL,CALHOUN,-0.019942121822787817,116243.0,01015
1017,34651.0,ALABAMA,AL,CHAMBERS,01017,xs,xs,AL,CHAMBERS,0.0081123251098153,34651.0,01017
1019,24969.0,ALABAMA,AL,CHEROKEE,01019,xs,xs,AL,CHEROKEE,0.03829334191988376,24969.0,01019
1021,45057.0,ALABAMA,AL,CHILTON,01021,xs,xs,AL,CHILTON,0.011318486025825525,45057.0,01021
1023,12626.0,ALABAMA,AL,CHOCTAW,01023,xs,xs,AL,CHOCTAW,0.01989325687784821,12626.0,01023
